cinema_code,name,loc
CINEMA1,가산디지털,서울
CINEMA2,가양,서울
CINEMA3,강동,서울
CINEMA4,건대입구,서울
CINEMA5,김포공항,서울
CINEMA6,노원,서울
CINEMA7,당진,서울
CINEMA8,대전(백화점),서울
CINEMA9,대전관저,서울
CINEMA10,대전둔산(월평동),서울
CINEMA11,대전센트럴,서울
CINEMA12,도곡,서울
CINEMA13,독산,서울
CINEMA14,브로드웨이(신사),서울
CINEMA15,서산,서울
CINEMA16,서울대입구,서울
CINEMA17,서청주(아울렛),서울
CINEMA18,수락산,서울
CINEMA19,수유,서울
CINEMA20,신도림,서울
CINEMA21,아산터미널,서울
CINEMA22,에비뉴엘(명동),서울
CINEMA23,영등포,충청/대전
CINEMA24,용산,충청/대전
CINEMA25,월드타워,충청/대전
CINEMA26,은평(롯데몰),충청/대전
CINEMA27,중랑,충청/대전
CINEMA28,천안불당,충청/대전
CINEMA29,청량리,충청/대전
CINEMA30,청주용암,충청/대전
CINEMA31,충주(모다아울렛),충청/대전
CINEMA32,합청,충청/대전
CINEMA33,홍대입구,충청/대전
